STATE/UT,Year,CRIME,Boys 7-12 Years,Girls 7-12 Years,Boys 12-16 Years,Girls 12-16 Years,Boys 16-18 Years,Girls 16-18 Years,Total for boys all Age Groups,Total for girls all Age Groups,Grand total
Andhra Pradesh,2013,Murder,0,0,20,1,52,3,72,4,76
Andhra Pradesh,2013,Attempt to Commit Murder,1,0,16,0,25,1,42,1,43
Andhra Pradesh,2013,C H Not amounting to Murder,0,0,2,0,3,0,5,0,5
Andhra Pradesh,2013,Rape,2,0,42,0,71,0,115,0,115
Andhra Pradesh,2013,Custodial Rape,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2013,Other Rape,2,0,42,0,71,0,115,0,115
Andhra Pradesh,2013,Kidnapping & Abduction,0,0,12,0,41,1,53,1,54
Andhra Pradesh,2013,K & A of Women and Girls,0,0,11,0,31,0,42,0,42
Andhra Pradesh,2013,K & A of others,0,0,1,0,10,1,11,1,12
Andhra Pradesh,2013,Dacoity,0,0,1,0,4,0,5,0,5
Andhra Pradesh,2013,Preparation & Assembly for Dacoity,0,0,0,0,2,0,2,0,2
Andhra Pradesh,2013,Robbery,1,0,16,0,13,0,30,0,30
Andhra Pradesh,2013,Burglary,17,0,149,0,216,1,382,1,383
Andhra Pradesh,2013,Theft,50,1,311,10,533,12,894,23,917
Andhra Pradesh,2013,Auto Theft,11,0,69,0,149,5,229,5,234
Andhra Pradesh,2013,Other Theft,39,1,242,10,384,7,665,18,683
Andhra Pradesh,2013,Riots,0,0,10,0,68,4,78,4,82
Andhra Pradesh,2013,Criminal Breach of Trust,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2013,Cheating,0,0,1,0,7,0,8,0,8
Andhra Pradesh,2013,Counterfeiting,0,0,3,0,1,0,4,0,4
Andhra Pradesh,2013,Arson,0,0,0,0,4,0,4,0,4
Andhra Pradesh,2013,Hurt/Grevious Hurt,8,0,175,6,341,9,524,15,539
Andhra Pradesh,2013,Dowry Deaths,0,0,0,0,1,0,1,0,1
Andhra Pradesh,2013,Assault on Women wih intent to outrage her Modesty,0,0,23,1,110,3,133,4,137
Andhra Pradesh,2013,Insult to Modesty of Women,1,0,39,0,133,2,173,2,175
Andhra Pradesh,2013,Cruelty by Husband or his Relatives,0,0,6,0,4,0,10,0,10
Andhra Pradesh,2013,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2013,Causing death by negligence,0,0,9,0,36,0,45,0,45
Andhra Pradesh,2013,Other IPC Crimes,6,3,82,4,245,23,333,30,363
Andhra Pradesh,2013,Total IPC Crimes,86,4,917,22,1910,59,2913,85,2998
Arunachal Pradesh,2013,Murder,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2013,Attempt to Commit Murder,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2013,C H Not amounting to Murder,0,0,0,0,0,0,0,0,0
