STATE/UT,Year,CRIME,Boys 7-12 Years,Girls 7-12 Years,Boys 12-16 Years,Girls 12-16 Years,Boys 16-18 Years,Girls 16-18 Years,Total for boys all Age Groups,Total for girls all Age Groups,Grand total
Andhra Pradesh,2013,"Arms Act, 1959",0,0,0,0,2,0,2,0,2
Andhra Pradesh,2013,"Narcotic Drugs and Psychotropic Substances Act, 19",0,0,1,0,1,0,2,0,2
Andhra Pradesh,2013,Gambling Act,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2013,Excise Act,0,0,0,0,1,0,1,0,1
Andhra Pradesh,2013,Prohibition Act,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2013,Explosives Substances Act 1908,0,0,0,0,1,0,1,0,1
Andhra Pradesh,2013,"Immoral Traffic (P) Act, 1956",0,0,0,0,0,0,0,0,0
Andhra Pradesh,2013,"Indial Railways Act, 1989",0,0,2,0,1,0,3,0,3
Andhra Pradesh,2013,"Registration of Foreigners Act, 1930",0,0,0,0,0,0,0,0,0
Andhra Pradesh,2013,"Protection of Civil Rights Act, 1955",0,0,0,0,0,0,0,0,0
Andhra Pradesh,2013,PCR Act - against SCs,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2013,PCR Act - against STs,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2013,Indian Passport Act,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2013,"Essential Commodities Act, 1955",0,0,0,0,0,0,0,0,0
Andhra Pradesh,2013,"Terrorist and Disruptive Activities Act, 1987",0,0,0,0,0,0,0,0,0
Andhra Pradesh,2013,"Antiquity & Art Treasures Act, 1972",0,0,0,0,0,0,0,0,0
Andhra Pradesh,2013,"Dowry Prohibition Act, 1961",0,0,0,0,0,0,0,0,0
Andhra Pradesh,2013,"Prohibition of Child Marriage Act, 2006",0,0,1,1,1,0,2,1,3
Andhra Pradesh,2013,"Indecent representation of Women (P) Act, 1986",0,0,5,0,6,0,11,0,11
Andhra Pradesh,2013,"Copyright Act, 1957",0,0,0,0,2,0,2,0,2
