Sl. No.,STATE/U.T.,Number of Unrecognised Schools,Enrolment at Primary Stage,Enrolment at Upper Primary Stage
1,Andaman  Nicobar Islands,3,43,0
2,Andhra Pradesh,2496,188809,36075
3,Arunachal Pradesh,67,6349,2384
4,Assam,5863,359015,135071
5,Bihar,4487,241762,110884
6,Chandigarh,37,3665,813
7,Chhattisgarh,608,8496,2653
8,Dadra  Nagar Haveli,0,0,0
9,Daman  Diu,0,60,75
10,Delhi,201,6933,850
11,Goa,5,150,38
12,Gujarat,341,1683,661
13,Haryana,898,71780,22728
14,Himachal Pradesh,255,8675,2658
15,Jammu  Kashmir,52,1694,473
16,Jharkhand,1418,110353,57477
17,Karnataka,156,3134,5523
18,Kerala,1430,137194,43107
19,Lakshadweep,0,0,0
20,Madhya Pradesh,1105,13543,4539
21,Maharashtra,253,7649,6932
22,Manipur,47,4450,3830
23,Meghalaya,1311,38926,10912
24,Mizoram,80,3209,1269
25,Nagaland,16,1011,150
26,Orissa,795,28892,8114
27,Puducherry,0,0,0
28,Punjab,3641,226178,96120
29,Rajasthan,1366,33529,8990
30,Sikkim,93,3246,497
31,Tamil Nadu,211,12022,2587
32,Tripura,55,3867,752
33,Uttar Pradesh,6775,462099,150327
34,Uttarakhand,381,12958,1696
35,West Bengal,4569,371827,72498
INDIA,INDIA,39015,2373201,790683
