Sl. No.,STATE/U.T.,Availability Within School Premises - Drinking Water,Availability Within School Premises - Usable Urinal,Availability Within School Premises - Playground
1,Andaman  Nicobar Islands,44,41,26
2,Andhra Pradesh,15789,13174,14516
3,Arunachal Pradesh,166,139,149
4,Assam,3311,3034,2976
5,Bihar,2517,1805,1954
6,Chandigarh,68,68,65
7,Chhattisgarh,1455,1232,971
8,Dadra  Nagar Haveli,16,16,11
9,Daman  Diu,18,16,11
10,Delhi,472,476,403
11,Goa,373,343,276
12,Gujarat,5054,4994,4472
13,Haryana,3414,3382,2850
14,Himachal Pradesh,1280,1169,1101
15,Jammu  Kashmir,1822,1504,1560
16,Jharkhand,1608,1176,1042
17,Karnataka,9977,9417,9491
18,Kerala,1422,1424,1320
19,Lakshadweep,2,2,1
20,Madhya Pradesh,4900,4516,3689
21,Maharashtra,14390,13381,12761
22,Manipur,511,567,450
23,Meghalaya,504,554,388
24,Mizoram,359,388,151
25,Nagaland,251,294,209
26,Orissa,7097,6235,5550
27,Puducherry,175,170,129
28,Punjab,3474,3416,3004
29,Rajasthan,10778,10691,6115
30,Sikkim,124,120,109
31,Tamil Nadu,4421,4136,3870
32,Tripura,395,406,379
33,Uttar Pradesh,5374,5333,4802
34,Uttarakhand,811,614,543
35,West Bengal,4554,4621,2812
INDIA,INDIA,106926,98854,88156
