Sl. No.,STATE/U.T.,Primary Schools,Upper Primary Schools,Secondary Schools,Higher Secondary Schools,"Total Schools
of Schools",Degree Colleges having Classes XI & XII
1,Andaman  Nicobar Islands,207,67,45,53,372,0
2,Andhra Pradesh,64401,15115,17820,3220,100556,48
3,Arunachal Pradesh,1808,909,192,111,3020,0
4,Assam,31045,8954,4138,850,44987,266
5,Bihar,43286,22775,2700,1262,70023,494
6,Chandigarh,21,22,68,73,184,0
7,Chhattisgarh,33372,14897,1838,2627,52734,0
8,Dadra  Nagar Haveli,181,94,17,10,302,0
9,Daman  Diu,51,32,18,11,112,1
10,Delhi,2565,580,476,1346,4967,0
11,Goa,1027,68,378,77,1550,9
12,Gujarat,6845,30344,5218,3151,45558,0
13,Haryana,9234,3347,3450,3094,19125,1
14,Himachal Pradesh,10790,2966,1320,1619,16695,10
15,Jammu  Kashmir,13808,8651,2133,841,25433,1
16,Jharkhand,24842,13407,1730,351,40330,138
17,Karnataka,26216,28961,11139,2507,68823,22
18,Kerala,6808,3077,1436,2309,13630,0
19,Lakshadweep,21,10,2,13,46,0
20,Madhya Pradesh,81966,38898,5797,5718,132379,0
21,Maharashtra,47909,27241,14801,5077,95028,838
22,Manipur,2387,699,654,129,3869,41
23,Meghalaya,7225,2288,693,117,10323,48
24,Mizoram,1354,1128,477,100,3059,0
25,Nagaland,1576,525,341,91,2533,33
26,Orissa,35452,18368,8199,572,62591,628
27,Puducherry,305,117,175,105,702,3
28,Punjab,14050,4126,3488,2625,24289,12
29,Rajasthan,45428,36060,11567,6165,99220,0
30,Sikkim,601,207,130,50,988,0
31,Tamil Nadu,33214,10152,4670,5272,53308,0
32,Tripura,2373,1158,458,321,4310,0
33,Uttar Pradesh,144379,64702,5504,8675,223260,8
34,Uttarakhand,15050,4235,1111,1594,21990,1
35,West Bengal,49889,1722,4823,4262,60696,0
INDIA,INDIA,759686,365902,117006,64398,1306992,2602
